graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_10_34_1,10,34,5,"{(6, 8), (4, 6), (0, 6), (6, 7), (5, 6)}",20,432,0.0
Graph_10_34_2,10,34,5,"{(3, 8), (5, 8), (4, 8), (7, 8), (2, 8)}",20,432,0.0
Graph_10_34_3,10,34,5,"{(4, 9), (0, 9), (7, 9), (3, 9), (6, 9)}",20,432,0.0
Graph_10_34_4,10,34,6,"{(6, 8), (0, 6), (2, 6), (3, 6), (1, 6), (6, 9)}",20,432,0.0
Graph_10_45_0,10,45,9,"{(0, 7), (2, 7), (3, 7), (5, 7), (7, 9), (6, 7), (1, 7), (4, 7), (7, 8)}",20,520,0.0
Graph_11_10_0,11,10,1,"{(0, 6)}",22,267,0.0
Graph_11_10_1,11,10,1,"{(3, 6)}",22,267,0.0
Graph_11_10_2,11,10,1,"{(2, 7)}",22,267,0.0
Graph_11_10_3,11,10,1,"{(0, 1)}",22,267,0.0
Graph_11_10_4,11,10,1,"{(2, 4)}",33,406,0.0
Graph_11_14_0,11,14,1,"{(3, 7)}",22,299,0.0
Graph_11_14_1,11,14,1,"{(4, 7)}",22,299,0.0
Graph_11_14_2,11,14,1,"{(5, 8)}",22,299,0.0
Graph_11_14_3,11,14,1,"{(8, 9)}",33,454,0.0
Graph_11_14_4,11,14,1,"{(1, 6)}",44,609,0.0
Graph_11_28_0,11,28,2,"{(1, 3), (3, 10)}",22,411,0.0
Graph_11_28_1,11,28,3,"{(2, 3), (2, 6), (2, 7)}",22,411,0.0
Graph_11_28_2,11,28,3,"{(0, 10), (8, 10), (6, 10)}",22,411,0.0
Graph_11_28_3,11,28,3,"{(9, 10), (4, 9), (8, 9)}",22,411,0.0
Graph_11_28_4,11,28,3,"{(6, 8), (8, 10), (4, 8)}",22,411,0.0
Graph_11_42_0,11,42,4,"{(2, 3), (3, 7), (1, 3), (3, 10)}",22,523,0.0
Graph_11_42_1,11,42,7,"{(9, 10), (4, 9), (0, 9), (7, 9), (3, 9), (5, 9), (1, 9)}",22,523,0.0
Graph_11_42_2,11,42,6,"{(3, 8), (3, 4), (3, 7), (0, 3), (3, 10), (2, 3)}",22,523,0.0
Graph_11_42_3,11,42,6,"{(9, 10), (4, 9), (0, 9), (7, 9), (5, 9), (1, 9)}",22,523,0.0
Graph_11_42_4,11,42,5,"{(6, 8), (0, 6), (6, 7), (3, 6), (6, 9)}",22,523,0.0
Graph_11_55_0,11,55,10,"{(9, 10), (4, 10), (0, 10), (7, 10), (2, 10), (8, 10), (3, 10), (5, 10), (6, 10), (1, 10)}",22,627,0.0
Graph_12_11_0,12,11,1,"{(0, 7)}",24,304,0.0
Graph_12_11_1,12,11,1,"{(6, 7)}",24,304,0.0
Graph_12_11_2,12,11,1,"{(3, 4)}",24,304,0.0
Graph_12_11_3,12,11,1,"{(2, 3)}",24,304,0.0
Graph_12_11_4,12,11,1,"{(10, 11)}",24,304,0.0
Graph_12_17_0,12,17,1,"{(4, 7)}",24,352,0.0
Graph_12_17_1,12,17,1,"{(0, 6)}",24,352,0.0
Graph_12_17_2,12,17,2,"{(4, 9), (2, 5)}",24,352,0.0
Graph_12_17_3,12,17,1,"{(2, 7)}",24,352,0.0
Graph_12_17_4,12,17,1,"{(4, 8)}",36,534,0.0
Graph_12_34_0,12,34,2,"{(3, 11), (3, 6)}",24,488,0.0
Graph_12_34_1,12,34,3,"{(4, 5), (5, 11), (5, 6)}",24,488,0.0
Graph_12_34_2,12,34,2,"{(3, 5), (3, 11)}",24,488,0.0
Graph_12_34_3,12,34,3,"{(0, 3), (0, 5), (0, 6)}",36,738,0.0
Graph_12_34_4,12,34,4,"{(4, 9), (8, 9), (3, 9), (6, 9)}",24,488,0.0
Graph_12_50_0,12,50,6,"{(3, 8), (3, 7), (2, 3), (3, 6), (1, 3), (3, 11)}",24,616,0.0
Graph_12_50_1,12,50,7,"{(9, 10), (4, 9), (9, 11), (0, 9), (3, 9), (5, 9), (1, 9)}",24,616,0.0
Graph_12_50_2,12,50,7,"{(3, 8), (3, 4), (3, 7), (0, 3), (3, 10), (2, 3), (3, 9)}",36,930,0.0
Graph_12_50_3,12,50,6,"{(9, 10), (9, 11), (7, 9), (8, 9), (3, 9), (5, 9)}",24,616,0.0
Graph_12_50_4,12,50,7,"{(0, 1), (0, 7), (0, 10), (0, 3), (0, 6), (0, 2), (0, 8)}",24,616,0.0
Graph_12_66_0,12,66,11,"{(10, 11), (5, 11), (6, 11), (1, 11), (0, 11), (9, 11), (4, 11), (7, 11), (2, 11), (8, 11), (3, 11)}",24,744,0.0
Graph_13_12_0,13,12,2,"{(4, 10), (6, 11)}",26,343,0.0
Graph_13_12_1,13,12,1,"{(0, 9)}",26,343,0.0
