graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_17_69_3,17,69,6,"{(0, 1), (0, 4), (0, 16), (0, 13), (0, 8), (0, 11)}",6,225,0.0008041858673095703
Graph_17_69_4,17,69,5,"{(8, 14), (1, 8), (8, 15), (7, 8), (2, 8)}",5,185,0.0
Graph_17_103_0,17,103,9,"{(5, 15), (1, 5), (5, 7), (5, 13), (5, 6), (0, 5), (5, 9), (2, 5), (5, 12)}",9,351,0.0
Graph_17_103_1,17,103,8,"{(5, 11), (1, 5), (5, 13), (4, 5), (5, 16), (5, 9), (2, 5), (3, 5)}",8,308,0.0
Graph_17_103_2,17,103,8,"{(8, 14), (3, 8), (5, 8), (8, 10), (8, 16), (8, 13), (4, 8), (2, 8)}",8,308,0.0
Graph_17_103_3,17,103,8,"{(5, 15), (6, 15), (1, 15), (9, 15), (4, 15), (11, 15), (13, 15), (8, 15)}",8,308,0.0
Graph_17_103_4,17,103,10,"{(6, 15), (6, 8), (4, 6), (0, 6), (6, 7), (6, 13), (2, 6), (6, 10), (1, 6), (6, 9)}",10,395,0.0
Graph_17_136_0,17,136,16,"{(0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 3), (0, 9), (0, 6), (0, 12), (0, 2), (0, 15), (0, 5), (0, 8), (0, 14), (0, 11)}",16,680,0.0
Graph_18_20_0,18,20,1,"{(1, 5)}",1,37,0.0
Graph_18_20_1,18,20,1,"{(1, 11)}",1,37,0.0
Graph_18_20_2,18,20,1,"{(7, 8)}",1,37,0.0
Graph_18_20_3,18,20,1,"{(0, 3)}",1,37,0.0
Graph_18_20_4,18,20,1,"{(1, 6)}",1,37,0.0
Graph_18_39_0,18,39,1,"{(8, 14)}",1,37,0.0
Graph_18_39_1,18,39,2,"{(12, 13), (12, 15)}",2,75,0.00148773193359375
Graph_18_39_2,18,39,2,"{(0, 3), (0, 9)}",2,75,0.0
Graph_18_39_3,18,39,2,"{(5, 9), (5, 16)}",2,75,0.0
Graph_18_39_4,18,39,2,"{(2, 15), (2, 10)}",2,75,0.0
Graph_18_77_0,18,77,6,"{(5, 8), (5, 13), (5, 6), (0, 5), (2, 5), (5, 12)}",6,237,0.0
Graph_18_77_1,18,77,6,"{(0, 1), (0, 7), (0, 13), (0, 9), (0, 15), (0, 11)}",6,237,0.0
Graph_18_77_2,18,77,5,"{(0, 4), (0, 9), (0, 15), (0, 14), (0, 11)}",5,195,0.0
Graph_18_77_3,18,77,6,"{(3, 7), (0, 3), (3, 9), (3, 6), (3, 15), (3, 5)}",6,237,0.0
Graph_18_77_4,18,77,6,"{(13, 14), (1, 14), (14, 16), (9, 14), (0, 14), (12, 14)}",6,237,0.0
Graph_18_115_0,18,115,11,"{(0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 12), (0, 2), (0, 5), (0, 8), (0, 11)}",11,462,0.0
Graph_18_115_1,18,115,11,"{(0, 7), (0, 4), (0, 16), (0, 13), (0, 9), (0, 6), (0, 15), (0, 8), (0, 14), (0, 11), (0, 17)}",11,462,0.0
Graph_18_115_2,18,115,11,"{(4, 10), (4, 16), (0, 4), (4, 13), (4, 9), (4, 6), (4, 5), (4, 8), (4, 11), (4, 17), (4, 7)}",11,462,0.0
Graph_18_115_3,18,115,10,"{(1, 12), (1, 2), (1, 15), (1, 4), (1, 17), (1, 7), (1, 13), (1, 10), (1, 16), (1, 3)}",10,415,0.0
Graph_18_115_4,18,115,11,"{(3, 8), (3, 14), (3, 4), (3, 17), (3, 7), (0, 3), (3, 15), (3, 16), (3, 9), (1, 3), (3, 5)}",11,462,0.0
Graph_18_153_0,18,153,17,"{(0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 3), (0, 9), (0, 6), (0, 12), (0, 2), (0, 15), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17)}",17,765,0.0
Graph_19_22_0,19,22,1,"{(2, 4)}",1,39,0.0
Graph_19_22_1,19,22,1,"{(1, 2)}",1,39,0.0
Graph_19_22_2,19,22,1,"{(0, 5)}",1,39,0.0
Graph_19_22_3,19,22,1,"{(1, 5)}",1,39,0.0
Graph_19_22_4,19,22,1,"{(0, 3)}",1,39,0.0
Graph_19_43_0,19,43,1,"{(11, 17)}",1,39,0.0
Graph_19_43_1,19,43,2,"{(8, 14), (14, 16)}",2,79,0.0
Graph_19_43_2,19,43,2,"{(2, 15), (2, 13)}",2,79,0.0
Graph_19_43_3,19,43,1,"{(2, 5)}",1,39,0.0
Graph_19_43_4,19,43,2,"{(12, 16), (2, 16)}",2,79,0.0
