graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_11_55_0,11,55,10,29,110705,0.017215967178344727
Graph_12_11_0,12,11,1,1,273,0.0
Graph_12_11_1,12,11,1,1,258,0.0
Graph_12_11_2,12,11,1,1,262,0.0
Graph_12_11_3,12,11,1,1,253,0.0
Graph_12_11_4,12,11,1,1,269,0.0
Graph_12_17_0,12,17,1,4,1533,0.0
Graph_12_17_1,12,17,1,1,385,0.0
Graph_12_17_2,12,17,1,7,2916,0.0
Graph_12_17_3,12,17,1,2,733,0.0
Graph_12_17_4,12,17,1,2,775,0.0010194778442382812
Graph_12_34_0,12,34,2,22,72833,0.01060628890991211
Graph_12_34_1,12,34,3,29,72894,0.00812840461730957
Graph_12_34_2,12,34,2,29,72322,0.014292240142822266
Graph_12_34_3,12,34,3,27,72529,0.010596990585327148
Graph_12_34_4,12,34,4,40,73086,0.01044774055480957
Graph_12_50_0,12,50,6,34,108778,0.016285419464111328
Graph_12_50_1,12,50,7,33,108200,0.014204263687133789
Graph_12_50_2,12,50,7,31,108848,0.019591569900512695
Graph_12_50_3,12,50,6,38,107901,0.015200376510620117
Graph_12_50_4,12,50,7,38,108605,0.016256093978881836
Graph_12_66_0,12,66,11,37,144063,0.02114391326904297
Graph_13_12_0,13,12,1,1,300,0.0
Graph_13_12_1,13,12,1,1,297,0.0
Graph_13_12_2,13,12,1,1,307,0.0
Graph_13_12_3,13,12,1,1,316,0.0
Graph_13_12_4,13,12,1,1,312,0.0
Graph_13_20_0,13,20,1,1,477,0.0
Graph_13_20_1,13,20,1,1,472,0.0
Graph_13_20_2,13,20,2,34,46049,0.006485462188720703
Graph_13_20_3,13,20,1,1,512,0.0
Graph_13_20_4,13,20,1,8,4203,0.0
Graph_13_40_0,13,40,3,34,92760,0.012008905410766602
Graph_13_40_1,13,40,2,29,91515,0.013850212097167969
Graph_13_40_2,13,40,3,30,92737,0.013876914978027344
Graph_13_40_3,13,40,2,31,91996,0.013942480087280273
Graph_13_40_4,13,40,4,25,92686,0.008863449096679688
Graph_13_59_0,13,59,7,35,137214,0.019846677780151367
Graph_13_59_1,13,59,6,32,136430,0.020178556442260742
Graph_13_59_2,13,59,7,35,137534,0.014795541763305664
Graph_13_59_3,13,59,7,39,137721,0.02084660530090332
Graph_13_59_4,13,59,7,34,137639,0.019960641860961914
Graph_13_78_0,13,78,12,29,182838,0.02891373634338379
Graph_14_13_0,14,13,1,1,352,0.0
Graph_14_13_1,14,13,1,1,327,0.0
Graph_14_13_2,14,13,1,1,379,0.0
Graph_14_13_3,14,13,1,1,376,0.0
Graph_14_13_4,14,13,1,1,369,0.0
Graph_14_23_0,14,23,1,1,572,0.0
Graph_14_23_1,14,23,1,5,2826,0.0
Graph_14_23_2,14,23,1,2,1174,0.0020012855529785156
Graph_14_23_3,14,23,2,24,55694,0.00875711441040039
Graph_14_23_4,14,23,1,1,602,0.0
Graph_14_46_0,14,46,2,25,113126,0.014847517013549805
Graph_14_46_1,14,46,4,26,113823,0.017864227294921875
Graph_14_46_2,14,46,4,30,113876,0.017130613327026367
Graph_14_46_3,14,46,4,32,113990,0.01599431037902832
Graph_14_46_4,14,46,4,28,114275,0.014883995056152344
Graph_14_69_0,14,69,8,34,173115,0.027456998825073242
Graph_14_69_1,14,69,8,26,173563,0.021116018295288086
Graph_14_69_2,14,69,8,32,173351,0.021984338760375977
Graph_14_69_3,14,69,6,32,172291,0.029749631881713867
Graph_14_69_4,14,69,8,36,172793,0.010267972946166992
Graph_14_91_0,14,91,13,30,230198,0.034932613372802734
Graph_15_14_0,15,14,1,1,382,0.001005411148071289
Graph_15_14_1,15,14,1,1,383,0.0
Graph_15_14_2,15,14,1,1,400,0.0
Graph_15_14_3,15,14,1,1,386,0.0010073184967041016
Graph_15_14_4,15,14,1,1,391,0.0
Graph_15_27_0,15,27,1,1,728,0.0
Graph_15_27_1,15,27,1,2,1392,0.0009922981262207031
Graph_15_27_2,15,27,2,29,69882,0.007628440856933594
Graph_15_27_3,15,27,1,5,3571,0.0
Graph_15_27_4,15,27,2,26,69009,0.014457941055297852
Graph_15_53_0,15,53,4,31,140604,0.019433021545410156
Graph_15_53_1,15,53,5,39,139594,0.01978278160095215
Graph_15_53_2,15,53,5,31,140342,0.019855737686157227
Graph_15_53_3,15,53,5,30,140527,0.01974177360534668
Graph_15_53_4,15,53,4,32,140091,0.013667583465576172
Graph_15_79_0,15,79,9,40,211483,0.027587890625
Graph_15_79_1,15,79,8,35,210803,0.03388547897338867
Graph_15_79_2,15,79,9,32,211136,0.028203248977661133
Graph_15_79_3,15,79,7,34,211578,0.018919944763183594
Graph_15_79_4,15,79,8,34,210459,0.02985525131225586
Graph_15_105_0,15,105,14,34,282129,0.041509389877319336
Graph_16_16_0,16,16,1,1,471,0.0
Graph_16_16_1,16,16,1,1,473,0.0
Graph_16_16_2,16,16,1,1,458,0.0
Graph_16_16_3,16,16,1,2,877,0.0
Graph_16_16_4,16,16,1,1,475,0.0
Graph_16_31_0,16,31,2,35,84126,0.011681079864501953
Graph_16_31_1,16,31,1,2,1717,0.0
Graph_16_31_2,16,31,2,37,85001,0.011435508728027344
Graph_16_31_3,16,31,2,33,85407,0.012347936630249023
Graph_16_31_4,16,31,1,2,1759,0.0
Graph_16_61_0,16,61,2,24,168167,0.02425074577331543
Graph_16_61_1,16,61,4,27,170429,0.021767377853393555
Graph_16_61_2,16,61,5,34,170889,0.02723097801208496
Graph_16_61_3,16,61,5,30,170334,0.021007061004638672
Graph_16_61_4,16,61,4,39,171257,0.02730870246887207
Graph_16_91_0,16,91,10,40,259429,0.03919625282287598
Graph_16_91_1,16,91,7,39,256578,0.03768301010131836
Graph_16_91_2,16,91,9,35,258249,0.03603768348693848
Graph_16_91_3,16,91,10,36,260033,0.038544416427612305
Graph_16_91_4,16,91,9,31,259237,0.03807806968688965
Graph_16_120_0,16,120,15,35,341648,0.0415341854095459
Graph_17_18_0,17,18,1,1,513,0.0
Graph_17_18_1,17,18,1,1,540,0.0
Graph_17_18_2,17,18,1,1,555,0.0
Graph_17_18_3,17,18,1,1,537,0.0
Graph_17_18_4,17,18,1,1,544,0.0
Graph_17_35_0,17,35,1,1,1064,0.0
Graph_17_35_1,17,35,2,30,100128,0.015721797943115234
Graph_17_35_2,17,35,1,3,3151,0.0010085105895996094
Graph_17_35_3,17,35,2,35,99572,0.014006614685058594
Graph_17_35_4,17,35,2,34,101771,0.013694047927856445
Graph_17_69_0,17,69,3,27,202221,0.027585983276367188
Graph_17_69_1,17,69,6,40,205875,0.02799224853515625
Graph_17_69_2,17,69,5,32,205259,0.02768397331237793
Graph_17_69_3,17,69,6,33,205447,0.028040409088134766
Graph_17_69_4,17,69,5,33,205645,0.014137744903564453
Graph_17_103_0,17,103,9,35,308910,0.04160475730895996
Graph_17_103_1,17,103,8,31,309654,0.041460275650024414
Graph_17_103_2,17,103,8,32,308387,0.04180479049682617
Graph_17_103_3,17,103,8,32,308649,0.057700157165527344
Graph_17_103_4,17,103,10,31,308774,0.043926239013671875
Graph_17_136_0,17,136,16,35,412985,0.05649137496948242
Graph_18_20_0,18,20,1,1,650,0.0
Graph_18_20_1,18,20,1,1,605,0.0
