graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_20_48_4,20,48,2,6300,501033,0.09025764465332031
two_K55_with_bridge,20,51,1,4918,396151,0.06910061836242676
Graph_20_96_0,20,96,7,6300,534608,0.10401082038879395
Graph_20_96_1,20,96,6,6300,530789,0.09768915176391602
Graph_20_96_2,20,96,5,6300,526959,0.10421037673950195
Graph_20_96_3,20,96,5,6300,529309,0.10006904602050781
Graph_20_96_4,20,96,6,6300,532461,0.10042548179626465
Graph_20_143_0,20,143,12,6300,544195,0.10419034957885742
Graph_20_143_1,20,143,11,6300,547917,0.10416507720947266
Graph_20_143_2,20,143,12,6300,550972,0.13745927810668945
Graph_20_143_3,20,143,12,6300,549647,0.13408517837524414
Graph_20_143_4,20,143,11,6300,548580,0.13068866729736328
Graph_20_190_0,20,190,19,6300,564908,0.13407659530639648
Graph_21_27_0,21,27,1,887,77645,0.021000146865844727
Graph_21_27_1,21,27,1,1137,101598,0.02509331703186035
Graph_21_27_2,21,27,1,3602,321994,0.05989408493041992
Graph_21_27_3,21,27,1,1734,151708,0.03338813781738281
Graph_21_27_4,21,27,1,779,71081,0.013148069381713867
Graph_21_53_0,21,53,3,6300,556280,0.11779308319091797
Graph_21_53_1,21,53,3,6300,551464,0.11803483963012695
Graph_21_53_2,21,53,2,6300,558897,0.12413716316223145
Graph_21_53_3,21,53,3,6300,559995,0.12406659126281738
Graph_21_53_4,21,53,2,6300,556882,0.11764955520629883
Graph_21_106_0,21,106,7,6300,588119,0.1388249397277832
Graph_21_106_1,21,106,6,6300,582941,0.15062451362609863
Graph_21_106_2,21,106,6,6300,586600,0.13561058044433594
Graph_21_106_3,21,106,6,6300,592109,0.1322927474975586
Graph_21_106_4,21,106,8,6300,585962,0.16863608360290527
Graph_21_158_0,21,158,12,6300,602855,0.16217494010925293
Graph_21_158_1,21,158,10,6300,605754,0.15689826011657715
Graph_21_158_2,21,158,13,6300,601598,0.1588294506072998
Graph_21_158_3,21,158,12,6300,606770,0.20533084869384766
Graph_21_158_4,21,158,12,6300,606972,0.1687486171722412
Graph_21_210_0,21,210,20,6300,624141,0.1849656105041504
Graph_22_29_0,22,29,1,1973,186053,0.05154109001159668
