graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_300_33638_1,300,33638,692,315,5802935,6.121500492095947
Graph_300_44850_0,300,44850,596,252,4937788,5.683237552642822
Graph_300_44850_1,300,44850,1764,252,4903212,5.459991931915283
Graph_350_7635_0,350,7635,31,504,12413986,5.12363076210022
Graph_350_7635_1,350,7635,40,441,10610484,5.288415908813477
Graph_350_15269_0,350,15269,79,315,7536823,5.122179746627808
Graph_350_15269_1,350,15269,80,315,7742042,5.1471006870269775
Graph_350_30538_0,350,30538,179,189,4925258,5.152011156082153
Graph_350_30538_1,350,30538,177,252,5697048,5.901917457580566
Graph_350_45807_0,350,45807,267,189,4111922,5.056665897369385
Graph_350_45807_1,350,45807,1281,189,4474974,5.490916728973389
Graph_350_61075_0,350,61075,349,189,4882103,6.128319263458252
Graph_350_61075_1,350,61075,1384,189,5136338,6.5825512409210205
Graph_400_9976_0,400,9976,39,378,11030451,5.119562387466431
Graph_400_9976_1,400,9976,37,378,12065555,5.443610429763794
Graph_400_19951_0,400,19951,98,252,8042839,5.471751928329468
Graph_400_19951_1,400,19951,297,252,8164550,5.625042915344238
Graph_400_39901_0,400,39901,601,126,4302704,5.302110910415649
Graph_400_39901_1,400,39901,1175,126,4468770,5.623056173324585
Graph_400_59851_0,400,59851,1155,126,4351907,6.212372779846191
Graph_400_59851_1,400,59851,2114,189,6042412,7.212763547897339
Graph_400_79800_0,400,79800,2364,126,4662916,5.755486249923706
Graph_400_79800_1,400,79800,3519,126,4469882,5.484865427017212
Graph_450_12629_0,450,12629,58,315,12200543,5.225795030593872
Graph_450_12629_1,450,12629,53,315,11846480,5.074974536895752
Graph_450_25257_0,450,25257,111,252,8423714,5.868949890136719
Graph_450_25257_1,450,25257,101,189,7401893,5.20231819152832
Graph_450_50513_0,450,50513,5112,126,5735195,6.36490797996521
Graph_450_50513_1,450,50513,1085,126,5486849,6.034855365753174
Graph_450_75769_0,450,75769,2325,126,5374762,7.075912237167358
Graph_450_75769_1,450,75769,1656,126,5035243,6.652822494506836
Graph_450_101025_0,450,101025,6525,126,5957106,8.231081008911133
Graph_450_101025_1,450,101025,1341,126,4549440,5.998291492462158
Graph_500_15594_0,500,15594,116,252,11731308,5.445640802383423
Graph_500_15594_1,500,15594,58,252,12805189,5.981884241104126
Graph_500_31188_0,500,31188,127,189,9126767,7.02363133430481
Graph_500_31188_1,500,31188,119,189,9430179,7.2759950160980225
