graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_75_1388_1,75,1388,25,"{(0, 39), (11, 39), (15, 39), (26, 39), (39, 42), (39, 60), (39, 57), (4, 39), (28, 39), (39, 41), (21, 39), (39, 53), (39, 56), (12, 39), (39, 68), (39, 71), (39, 46), (22, 39), (39, 49), (20, 39), (39, 58), (39, 55), (39, 61), (39, 67), (39, 64)}",150,17179,0.004047393798828125
Graph_75_2082_0,75,2082,47,"{(53, 66), (55, 66), (9, 66), (42, 66), (0, 66), (11, 66), (33, 66), (44, 66), (2, 66), (24, 66), (46, 66), (57, 66), (66, 69), (66, 72), (26, 66), (6, 66), (39, 66), (4, 66), (17, 66), (50, 66), (28, 66), (61, 66), (8, 66), (30, 66), (52, 66), (10, 66), (43, 66), (29, 66), (66, 74), (63, 66), (21, 66), (23, 66), (12, 66), (3, 66), (47, 66), (36, 66), (58, 66), (5, 66), (60, 66), (51, 66), (66, 70), (25, 66), (66, 67), (66, 73), (49, 66), (7, 66), (40, 66)}",150,22731,0.005835771560668945
Graph_75_2082_1,75,2082,46,"{(27, 47), (27, 53), (2, 27), (27, 50), (27, 56), (15, 27), (27, 59), (27, 68), (27, 71), (27, 28), (17, 27), (27, 31), (27, 37), (27, 34), (27, 46), (27, 43), (27, 49), (27, 52), (27, 55), (27, 61), (27, 64), (27, 70), (21, 27), (27, 67), (27, 73), (12, 27), (23, 27), (3, 27), (14, 27), (27, 30), (11, 27), (27, 33), (27, 39), (27, 36), (27, 42), (27, 45), (27, 54), (27, 63), (7, 27), (18, 27), (27, 66), (22, 27), (27, 32), (27, 35), (9, 27), (0, 27)}",150,22731,0.004079580307006836
Graph_75_2775_0,75,2775,74,"{(39, 73), (72, 73), (4, 73), (37, 73), (70, 73), (59, 73), (17, 73), (28, 73), (50, 73), (61, 73), (8, 73), (52, 73), (19, 73), (30, 73), (41, 73), (10, 73), (32, 73), (43, 73), (65, 73), (1, 73), (63, 73), (21, 73), (54, 73), (73, 74), (12, 73), (45, 73), (67, 73), (23, 73), (34, 73), (14, 73), (3, 73), (36, 73), (47, 73), (56, 73), (5, 73), (27, 73), (60, 73), (58, 73), (69, 73), (51, 73), (25, 73), (16, 73), (38, 73), (71, 73), (49, 73), (18, 73), (29, 73), (40, 73), (15, 73), (7, 73), (62, 73), (31, 73), (20, 73), (64, 73), (53, 73), (22, 73), (55, 73), (9, 73), (42, 73), (0, 73), (33, 73), (11, 73), (44, 73), (66, 73), (2, 73), (13, 73), (24, 73), (57, 73), (68, 73), (35, 73), (26, 73), (48, 73), (46, 73), (6, 73)}",150,28275,0.005987882614135742
Graph_75_2775_1,75,2775,74,"{(63, 74), (21, 74), (54, 74), (12, 74), (34, 74), (45, 74), (56, 74), (67, 74), (14, 74), (36, 74), (47, 74), (69, 74), (3, 74), (5, 74), (51, 74), (60, 74), (27, 74), (58, 74), (23, 74), (25, 74), (16, 74), (38, 74), (71, 74), (49, 74), (7, 74), (29, 74), (18, 74), (40, 74), (62, 74), (73, 74), (20, 74), (31, 74), (53, 74), (64, 74), (22, 74), (55, 74), (9, 74), (42, 74), (11, 74), (0, 74), (33, 74), (44, 74), (66, 74), (2, 74), (13, 74), (24, 74), (46, 74), (57, 74), (68, 74), (15, 74), (26, 74), (35, 74), (48, 74), (72, 74), (6, 74), (39, 74), (4, 74), (37, 74), (70, 74), (59, 74), (28, 74), (17, 74), (50, 74), (61, 74), (8, 74), (30, 74), (52, 74), (19, 74), (41, 74), (10, 74), (32, 74), (65, 74), (43, 74), (1, 74)}",150,28275,0.007986783981323242
Graph_100_619_0,100,619,4,"{(12, 94), (70, 94), (14, 94), (1, 94)}",200,15552,0.004743099212646484
Graph_100_619_1,100,619,4,"{(6, 85), (6, 14), (6, 26), (6, 25)}",300,23378,0.005457878112792969
Graph_100_1238_0,100,1238,15,"{(15, 79), (78, 79), (51, 79), (79, 88), (26, 79), (25, 79), (42, 79), (79, 83), (79, 89), (79, 92), (44, 79), (69, 79), (29, 79), (62, 79), (41, 79)}",300,30806,0.006937742233276367
Graph_100_1238_1,100,1238,13,"{(8, 94), (8, 62), (8, 68), (8, 42), (8, 55), (8, 10), (8, 74), (8, 93), (8, 32), (8, 99), (8, 12), (8, 41), (0, 8)}",300,30806,0.004661083221435547
Graph_100_2476_0,100,2476,37,"{(22, 63), (63, 80), (63, 89), (63, 95), (33, 63), (13, 63), (35, 63), (15, 63), (48, 63), (2, 63), (26, 63), (6, 63), (63, 73), (59, 63), (63, 79), (63, 85), (4, 63), (37, 63), (63, 88), (8, 63), (52, 63), (17, 63), (63, 97), (43, 63), (63, 66), (54, 63), (63, 69), (23, 63), (34, 63), (36, 63), (62, 63), (63, 90), (63, 93), (63, 96), (40, 63), (16, 63), (63, 68)}",200,30408,0.006961822509765625
