graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_75_1388_1,75,1388,25,"{(11, 39), (0, 39), (15, 39), (26, 39), (39, 42), (39, 60), (39, 57), (4, 39), (28, 39), (39, 41), (21, 39), (39, 53), (39, 56), (12, 39), (39, 68), (39, 71), (39, 46), (22, 39), (39, 49), (20, 39), (39, 58), (39, 55), (39, 61), (39, 67), (39, 64)}",150,92892,0.07382774353027344
Graph_75_2082_0,75,2082,47,"{(53, 66), (40, 66), (55, 66), (9, 66), (42, 66), (0, 66), (11, 66), (33, 66), (44, 66), (2, 66), (24, 66), (46, 66), (57, 66), (66, 69), (66, 72), (26, 66), (6, 66), (39, 66), (4, 66), (28, 66), (17, 66), (50, 66), (61, 66), (8, 66), (30, 66), (52, 66), (10, 66), (43, 66), (66, 74), (63, 66), (21, 66), (23, 66), (12, 66), (3, 66), (36, 66), (47, 66), (58, 66), (5, 66), (60, 66), (51, 66), (66, 70), (25, 66), (66, 67), (66, 73), (49, 66), (7, 66), (29, 66)}",150,99138,0.10494518280029297
Graph_75_2082_1,75,2082,46,"{(27, 47), (27, 53), (2, 27), (27, 50), (27, 56), (15, 27), (0, 27), (27, 59), (27, 68), (27, 71), (27, 28), (17, 27), (27, 31), (27, 37), (27, 34), (27, 46), (27, 43), (27, 49), (27, 52), (27, 55), (27, 61), (27, 64), (27, 70), (21, 27), (27, 67), (27, 73), (12, 27), (23, 27), (3, 27), (14, 27), (27, 30), (27, 33), (27, 39), (27, 36), (27, 42), (27, 45), (27, 54), (27, 63), (7, 27), (18, 27), (27, 66), (22, 27), (27, 32), (27, 35), (9, 27), (11, 27)}",150,99138,0.09729909896850586
Graph_75_2775_0,75,2775,74,"{(36, 56), (0, 36), (11, 36), (33, 36), (36, 53), (36, 59), (2, 36), (13, 36), (24, 36), (35, 36), (36, 62), (36, 65), (15, 36), (26, 36), (36, 68), (36, 71), (36, 74), (6, 36), (36, 37), (4, 36), (36, 40), (17, 36), (28, 36), (36, 43), (36, 49), (8, 36), (19, 36), (30, 36), (36, 46), (36, 52), (10, 36), (32, 36), (36, 55), (36, 58), (36, 61), (1, 36), (36, 64), (36, 70), (36, 67), (36, 73), (21, 36), (12, 36), (23, 36), (34, 36), (36, 39), (3, 36), (14, 36), (36, 42), (5, 36), (27, 36), (36, 45), (36, 51), (36, 48), (36, 54), (36, 57), (36, 63), (25, 36), (36, 60), (36, 66), (16, 36), (36, 69), (7, 36), (18, 36), (29, 36), (36, 72), (20, 36), (31, 36), (22, 36), (36, 38), (36, 44), (36, 41), (36, 47), (9, 36), (36, 50)}",150,105375,0.15782546997070312
Graph_75_2775_1,75,2775,74,"{(36, 56), (0, 36), (11, 36), (33, 36), (36, 53), (36, 59), (2, 36), (13, 36), (24, 36), (35, 36), (36, 62), (36, 65), (15, 36), (26, 36), (36, 68), (36, 71), (36, 74), (6, 36), (36, 37), (4, 36), (36, 40), (17, 36), (28, 36), (36, 43), (36, 49), (8, 36), (19, 36), (30, 36), (36, 46), (36, 52), (10, 36), (32, 36), (36, 55), (36, 58), (36, 61), (1, 36), (36, 64), (36, 70), (36, 67), (36, 73), (21, 36), (12, 36), (23, 36), (34, 36), (36, 39), (3, 36), (14, 36), (36, 42), (5, 36), (27, 36), (36, 45), (36, 51), (36, 48), (36, 54), (36, 57), (36, 63), (25, 36), (36, 60), (36, 66), (16, 36), (36, 69), (7, 36), (18, 36), (29, 36), (36, 72), (20, 36), (31, 36), (22, 36), (36, 38), (36, 44), (36, 41), (36, 47), (9, 36), (36, 50)}",150,105375,0.14228200912475586
Graph_100_619_0,100,619,4,"{(12, 94), (70, 94), (14, 94), (1, 94)}",400,130923,0.055280447006225586
Graph_100_619_1,100,619,4,"{(6, 85), (6, 14), (6, 26), (6, 25)}",200,115271,0.05484151840209961
Graph_100_1238_0,100,1238,16,"{(12, 94), (45, 94), (8, 94), (14, 94), (70, 94), (69, 94), (15, 94), (74, 94), (32, 94), (27, 94), (1, 94), (37, 94), (21, 94), (38, 94), (82, 94), (28, 94)}",300,131144,0.07632303237915039
Graph_100_1238_1,100,1238,13,"{(8, 94), (8, 62), (8, 68), (8, 42), (8, 10), (8, 55), (8, 74), (8, 93), (8, 32), (8, 99), (8, 12), (8, 41), (0, 8)}",300,131144,0.07990241050720215
Graph_100_2476_0,100,2476,37,"{(22, 63), (63, 80), (63, 89), (63, 95), (33, 63), (35, 63), (13, 63), (26, 63), (48, 63), (15, 63), (2, 63), (6, 63), (63, 73), (59, 63), (63, 79), (63, 85), (4, 63), (37, 63), (63, 88), (8, 63), (52, 63), (17, 63), (63, 97), (43, 63), (63, 66), (54, 63), (63, 69), (23, 63), (34, 63), (36, 63), (62, 63), (63, 90), (63, 93), (63, 96), (40, 63), (16, 63), (63, 68)}",200,131984,0.14539241790771484
Graph_100_2476_1,100,2476,35,"{(48, 82), (82, 87), (72, 82), (82, 93), (82, 99), (17, 82), (50, 82), (4, 82), (30, 82), (74, 82), (10, 82), (65, 82), (76, 82), (1, 82), (63, 82), (15, 82), (12, 82), (21, 82), (67, 82), (69, 82), (80, 82), (5, 82), (51, 82), (38, 82), (29, 82), (82, 85), (82, 91), (82, 94), (64, 82), (82, 97), (22, 82), (44, 82), (9, 82), (0, 82), (26, 82)}",300,147238,0.13832950592041016
